Формат магазина	Магазин	Группа	Номенклатура	Месяц	Кол проданного товара, шт	Сумма продаж, тыс.руб.	Себестоимость продаж, тыс.руб.	Остаток на конец дня среднедневной, шт	Себестоимость остатков на конец дня среднедневная, тыс.руб.
Гипер	Магазин 3	Молочные продукты	Молочные продукты 1	7	19	0,81251	0,66358	5	0,17462
Гипер	Магазин 3	Молочные продукты	Молочные продукты 1	8	20	0,88241	0,6985	5	0,17462
Гипер	Магазин 3	Молочные продукты	Молочные продукты 1	9	40	1,60159	1,18046	5	0,1397
Гипер	Магазин 3	Молочные продукты	Молочные продукты 2	7	70	2,41666	1,84436	8	0,2427
Гипер	Магазин 3	Молочные продукты	Молочные продукты 2	8	55	1,87875	1,43176	9	0,21839
Гипер	Магазин 3	Молочные продукты	Молочные продукты 2	9	35	1,29871	0,8493	6	0,14559
Гипер	Магазин 3	Молочные продукты	Молочные продукты 3	7	17	0,73383	0,59375	6	0,20956
Гипер	Магазин 3	Молочные продукты	Молочные продукты 3	8	22	0,97093	0,76839	5	0,17463
Гипер	Магазин 3	Молочные продукты	Молочные продукты 3	9	44	1,76761	1,26429	6	0,20956
Гипер	Магазин 3	Молочные продукты	Молочные продукты 4	7	41	1,43355	1,01919	9	0,21839
Гипер	Магазин 3	Молочные продукты	Молочные продукты 4	8	42	1,49758	1,07988	7	0,21236
Гипер	Магазин 3	Молочные продукты	Молочные продукты 4	9	15	0,56385	0,40648	9	0,26696
Гипер	Магазин 3	Молочные продукты	Молочные продукты 5	7	58	2,00161	1,55314	13	0,38833
Гипер	Магазин 3	Молочные продукты	Молочные продукты 5	8	50	1,7399	1,28618	7	0,16985
Гипер	Магазин 3	Молочные продукты	Молочные продукты 5	9	18	0,66982	0,43677	9	0,24268
Гипер	Магазин 3	Молочные продукты	Молочные продукты 6	7	25	0,92865	0,74417	5	0,14883
Гипер	Магазин 3	Молочные продукты	Молочные продукты 6	8	18	0,67392	0,54566	5	0,15262
Гипер	Магазин 3	Молочные продукты	Молочные продукты 6	9	19	0,74081	0,57997	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 7	8	6	0,61594	0,50872	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 7	9	11	1,13789	0,93266	1	0,08478
Гипер	Магазин 3	Молочные продукты	Молочные продукты 8	8	9	0,92991	0,76308	0	0
Гипер	Магазин 3	Молочные продукты	Молочные продукты 8	9	14	1,46786	1,18702	1	0,08478
Гипер	Магазин 3	Молочные продукты	Молочные продукты 9	7	19	0,84682	0,689	3	0,09613
Гипер	Магазин 3	Молочные продукты	Молочные продукты 9	8	9	0,43891	0,33649	2	0,08012
Гипер	Магазин 3	Молочные продукты	Молочные продукты 9	9	7	0,30478	0,25637	9	0,28839
Гипер	Магазин 3	Молочные продукты	Молочные продукты 11	7	19	0,81479	0,5968	3	0,09613
Гипер	Магазин 3	Молочные продукты	Молочные продукты 11	8	9	0,44691	0,33649	2	0,08012
Гипер	Магазин 3	Молочные продукты	Молочные продукты 11	9	7	0,30693	0,25637	5	0,16021
Гипер	Магазин 3	Молочные продукты	Молочные продукты 12	7	16	0,87584	0,78719	3	0,14994
Гипер	Магазин 3	Молочные продукты	Молочные продукты 12	8	10	0,5279	0,41237	5	0,18745
Гипер	Магазин 3	Молочные продукты	Молочные продукты 12	9	12	0,53292	0,43602	5	0,17755
Гипер	Магазин 3	Молочные продукты	Молочные продукты 14	7	65	2,13167	1,4751	8	0,19536
Гипер	Магазин 3	Молочные продукты	Молочные продукты 14	8	55	1,8215	1,3431	2	0,04884
Гипер	Магазин 3	Молочные продукты	Молочные продукты 14	9	38	1,28306	0,92796	3	0,07326
Гипер	Магазин 3	Молочные продукты	Молочные продукты 16	7	104	4,17908	2,99728	10	0,2882
Гипер	Магазин 3	Молочные продукты	Молочные продукты 16	8	106	4,14121	2,89751	12	0,27588
Гипер	Магазин 3	Молочные продукты	Молочные продукты 16	9	111	4,23677	2,80841	6	0,13794
Гипер	Магазин 3	Молочные продукты	Молочные продукты 17	7	69	2,59632	1,70181	5	0,12958
Гипер	Магазин 3	Молочные продукты	Молочные продукты 17	8	36	1,42466	1,00254	3	0,08448
Гипер	Магазин 3	Молочные продукты	Молочные продукты 17	9	28	1,12172	0,78848	1	0,02816
Гипер	Магазин 3	Молочные продукты	Молочные продукты 18	7	184	8,6947	5,77334	27	0,73359
Гипер	Магазин 3	Молочные продукты	Молочные продукты 18	8	161	7,45452	4,93115	2	0,06792
Гипер	Магазин 3	Молочные продукты	Молочные продукты 18	9	144	7,19217	5,02152	14	0,39942
Гипер	Магазин 3	Молочные продукты	Молочные продукты 19	7	93	3,62553	2,55549	3	0,08245
Гипер	Магазин 3	Молочные продукты	Молочные продукты 19	8	70	2,74009	1,92349	8	0,21981
Гипер	Магазин 3	Молочные продукты	Молочные продукты 19	9	59	2,29733	1,62125	9	0,24727
Гипер	Магазин 3	Молочные продукты	Молочные продукты 20	7	99	2,91503	2,18435	3	0,07392
